City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,17.44,68,51,3.7,ZA,1679941021
1,aklavik,68.2191,-135.0107,-1.19,78,100,1.77,CA,1679941369
2,airai,-8.9266,125.4092,15.04,94,98,0.96,TL,1679941525
3,tasiilaq,65.6145,-37.6368,-9.91,79,7,1.75,GL,1679941363
4,cape town,-33.9258,18.4232,22.99,55,0,3.13,ZA,1679941203
5,nome,64.5011,-165.4064,-7.96,100,100,3.09,US,1679941637
6,hilo,19.7297,-155.09,24.79,85,40,3.58,US,1679941322
7,porto novo,6.4965,2.6036,27.9,73,100,2.22,BJ,1679941132
8,talnakh,69.4865,88.3972,-27.11,99,97,3.87,RU,1679941901
9,ushuaia,-54.8,-68.3,3.79,93,100,4.63,AR,1679941316
10,acari,-15.4311,-74.6158,29.35,54,28,5.16,PE,1679941901
11,rikitea,-23.1203,-134.9692,26.37,80,40,7.54,PF,1679941308
12,sinnamary,5.3833,-52.95,27.56,69,25,4.64,GF,1679941902
13,klaksvik,62.2266,-6.589,0.51,68,91,6.27,FO,1679941902
14,conakry,9.538,-13.6773,27.04,69,0,5.14,GN,1679941902
15,srednekolymsk,67.45,153.6833,-24.5,89,68,2.77,RU,1679941902
16,tiksi,71.6872,128.8694,-20.6,91,56,6.46,RU,1679941310
17,menongue,-14.6585,17.691,17.89,94,98,2.58,AO,1679941903
18,mataura,-46.1927,168.8643,4.26,95,100,2.54,NZ,1679941318
19,atuona,-9.8,-139.0333,26.9,80,77,6.87,PF,1679941320
20,mayna,54.1135,47.6231,7.22,88,100,3.41,RU,1679941903
21,port elizabeth,-33.918,25.5701,17.4,76,0,6.17,ZA,1679941318
22,santa maria,-29.6842,-53.8069,26.61,44,20,3.09,BR,1679941450
23,ribeira grande,38.5167,-28.7,16.54,82,40,10.28,PT,1679941402
24,port alfred,-33.5906,26.891,16.21,76,23,0.89,ZA,1679941319
25,arraial do cabo,-22.9661,-42.0278,26.92,78,75,4.12,BR,1679941125
26,hithadhoo,-0.6,73.0833,27.99,77,96,5.01,MV,1679941367
27,ust-nera,64.5667,143.2,-11.75,90,100,3.04,RU,1679941608
28,murmashi,68.8154,32.8115,-13.77,100,0,0.0,RU,1679941904
29,vaini,-21.2,-175.2,26.83,81,98,4.16,TO,1679941358
30,luancheng,37.8792,114.6517,7.09,30,15,1.18,CN,1679941904
31,barrow,71.2906,-156.7887,-6.99,93,100,9.26,US,1679941318
32,coahuayana,18.7333,-103.6833,31.03,37,100,3.33,MX,1679941904
33,carnarvon,-24.8667,113.6333,23.4,76,97,6.5,AU,1679941504
34,saskylakh,71.9167,114.0833,-21.97,97,100,5.46,RU,1679941337
35,christchurch,-43.5333,172.6333,17.11,67,100,6.69,NZ,1679941695
36,jamestown,42.097,-79.2353,6.12,95,100,2.57,US,1679941085
37,chokurdakh,70.6333,147.9167,-15.78,89,99,4.77,RU,1679941341
38,los llanos de aridane,28.6585,-17.9182,21.86,53,0,4.12,ES,1679941380
39,tuktoyaktuk,69.4541,-133.0374,-3.0,86,75,9.77,CA,1679941395
40,waupun,43.6333,-88.7296,5.95,63,15,3.62,US,1679941905
41,esna,25.2934,32.554,23.01,19,0,3.2,EG,1679941907
42,iqaluit,63.7506,-68.5145,-10.15,85,100,1.54,CA,1679941579
43,presidente epitacio,-21.7633,-52.1156,29.97,62,97,0.82,BR,1679941845
44,pestravka,52.405,49.9583,11.98,76,100,2.93,RU,1679941907
45,qaanaaq,77.484,-69.3632,-21.38,71,13,2.2,GL,1679941314
46,albany,42.6001,-73.9662,12.19,39,75,0.99,US,1679941372
47,itanagar,27.1,93.6167,16.08,92,0,1.52,IN,1679941907
48,victoria,22.2855,114.1577,17.96,92,100,4.47,HK,1679941289
49,gravdal,68.1214,13.5031,-4.06,68,0,2.57,NO,1679941430
50,castro,-24.7911,-50.0119,19.31,91,100,2.65,BR,1679941244
51,gamboula,4.1178,15.1393,24.64,61,30,0.51,CF,1679941908
52,erenhot,43.6475,111.9767,4.06,27,0,2.66,CN,1679941908
53,oistins,13.0667,-59.5333,30.05,58,40,10.8,BB,1679941507
54,san patricio,28.017,-97.5169,27.52,67,100,5.98,US,1679941388
55,siva,29.2041,25.5195,21.95,20,0,2.57,EG,1679941908
56,kodiak,57.79,-152.4072,0.73,80,40,0.0,US,1679941424
57,hasaki,35.7333,140.8333,10.68,64,100,8.25,JP,1679941364
58,tuatapere,-46.1333,167.6833,5.96,81,98,5.16,NZ,1679941909
59,husavik,66.0449,-17.3389,-2.05,91,100,6.54,IS,1679941568
60,avarua,-21.2078,-159.775,26.03,83,100,4.12,CK,1679941353
61,poum,-20.2333,164.0167,26.54,81,87,7.48,NC,1679941330
62,pavlogradka,54.2024,73.5592,1.75,100,100,3.42,RU,1679941909
63,japura,-0.3167,102.35,22.73,93,93,1.18,ID,1679941909
64,ponta do sol,32.6667,-17.1,24.84,63,18,1.31,PT,1679941400
65,grindavik,63.8424,-22.4338,0.97,51,0,6.69,IS,1679941910
66,lorengau,-2.0226,147.2712,26.81,81,92,1.53,PG,1679941910
67,grand gaube,-20.0064,57.6608,25.22,79,8,0.89,MU,1679941910
68,bandarbeyla,9.4942,50.8122,27.23,78,24,3.58,SO,1679941910
69,porbandar,21.6422,69.6093,24.3,74,2,5.64,IN,1679941911
70,maneromango,-7.1988,38.7848,21.83,96,43,1.93,TZ,1679941912
71,kapaa,22.0752,-159.319,25.1,89,40,2.57,US,1679941327
72,mogadishu,2.0371,45.3438,27.67,76,98,6.7,SO,1679941707
73,bluff,-46.6,168.3333,8.4,61,91,9.77,NZ,1679941367
74,adrar,20.5022,-10.0711,33.23,8,0,4.16,MR,1679941362
75,san quintin,30.4833,-115.95,17.96,43,95,3.35,MX,1679941912
76,melfi,40.9965,15.6514,8.31,89,91,2.85,IT,1679941912
77,vardo,70.3705,31.1107,-5.01,93,100,5.14,NO,1679941586
78,port lincoln,-34.7333,135.8667,18.3,81,83,3.73,AU,1679941502
79,punta arenas,-53.15,-70.9167,5.06,87,100,4.63,CL,1679941329
80,hermanus,-34.4187,19.2345,17.67,63,43,3.96,ZA,1679941321
81,touros,-5.1989,-35.4608,28.5,69,95,5.32,BR,1679941526
82,kawalu,-7.3817,108.2082,22.84,91,100,1.12,ID,1679941913
83,yellowknife,62.456,-114.3525,-15.71,55,0,1.03,CA,1679941239
84,vernon,50.2581,-119.2691,10.89,45,17,1.54,CA,1679941913
